N�mero_Proveedor,Nombre_Proveedor,CUIT,Categoria_Proveedor,Tipo_Contribuyente,Contacto,Correo_Electrónico,Teléfono,Razón_Social,Importe,Fecha,Nro_Cuenta,Ciudad,Pais
P00119,Pablo Díaz,23-87654329-8,Transporte,Monotributista,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,S.R.L.,47892,2019-05-22,502100,San Fernando,Argentina
P00119,Pablo Díaz,23-87654329-8,Transporte,Monotributista,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,S.R.L.,143655,2019-06-25,502100,San Fernando,Argentina
P00119,Pablo Díaz,23-87654329-8,Transporte,Monotributista,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,S.R.L.,253069,2021-01-01,502100,San Fernando,Argentina
P00119,Pablo Díaz,23-87654329-8,Transporte,Monotributista,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,S.R.L.,124078,2020-10-01,502100,San Fernando,Argentina
P00119,Pablo Díaz,23-87654329-8,Transporte,Monotributista,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,S.R.L.,164974,2020-11-04,502100,San Fernando,Argentina
P00119,Pablo Díaz,23-87654329-8,Transporte,Monotributista,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,S.R.L.,98184,2023-02-05,502100,San Fernando,Argentina
P00119,Pablo Díaz,23-87654329-8,Transporte,Monotributista,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,S.R.L.,70237,2023-10-01,502100,San Fernando,Argentina
P00119,Pablo Díaz,23-87654329-8,Transporte,Monotributista,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,S.R.L.,249088,2023-11-04,502100,San Fernando,Argentina
P00120,Isabel Ramírez,33-76543218-9,Construcción,IVA Responsable,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,S.A.,130253,2019-02-08,516000,Merlo,Argentina
P00120,Isabel Ramírez,33-76543218-9,Construcción,IVA Responsable,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,S.A.,201168,2019-03-25,516000,Merlo,Argentina
P00120,Isabel Ramírez,33-76543218-9,Construcción,IVA Responsable,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,S.A.,182791,2019-05-25,516000,Merlo,Argentina
P00120,Isabel Ramírez,33-76543218-9,Construcción,IVA Responsable,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,S.A.,100941,2019-06-28,516000,Merlo,Argentina
P00120,Isabel Ramírez,33-76543218-9,Construcción,IVA Responsable,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,S.A.,74480,2019-07-01,516000,Merlo,Argentina
P00120,Isabel Ramírez,33-76543218-9,Construcción,IVA Responsable,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,S.A.,50006,2019-07-04,516000,Merlo,Argentina
P00120,Isabel Ramírez,33-76543218-9,Construcción,IVA Responsable,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,S.A.,70453,2021-01-04,516000,Merlo,Argentina
P00120,Isabel Ramírez,33-76543218-9,Construcción,IVA Responsable,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,S.A.,16006,2020-10-04,516000,Merlo,Argentina
P00120,Isabel Ramírez,33-76543218-9,Construcción,IVA Responsable,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,S.A.,168444,2020-11-07,516000,Merlo,Argentina
P00120,Isabel Ramírez,33-76543218-9,Construcción,IVA Responsable,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,S.A.,285123,2020-11-10,516000,Merlo,Argentina
P00120,Isabel Ramírez,33-76543218-9,Construcción,IVA Responsable,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,S.A.,118002,2020-11-13,516000,Merlo,Argentina
P00120,Isabel Ramírez,33-76543218-9,Construcción,IVA Responsable,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,S.A.,262998,2023-02-08,516000,Merlo,Argentina
P00120,Isabel Ramírez,33-76543218-9,Construcción,IVA Responsable,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,S.A.,71101,2023-10-04,516000,Merlo,Argentina
P00120,Isabel Ramírez,33-76543218-9,Construcción,IVA Responsable,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,S.A.,132812,2023-11-07,516000,Merlo,Argentina
P00120,Isabel Ramírez,33-76543218-9,Construcción,IVA Responsable,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,S.A.,193225,2023-11-10,516000,Merlo,Argentina
P00120,Isabel Ramírez,33-76543218-9,Construcción,IVA Responsable,Isabel Ramírez,isabel.ramirez@empresa.bef,0999-9876,S.A.,198619,2023-11-13,516000,Merlo,Argentina
P00121,Carla Medina,20-34567890-1,Software,Monotributista,Carla Medina,carla.medina@empresa.qrs,0123-6789,S.R.L.,222631,2020-01-02,509100,San Martín,Argentina
P00121,Carla Medina,20-34567890-1,Software,Monotributista,Carla Medina,carla.medina@empresa.qrs,0123-6789,S.R.L.,61912,2020-04-01,509100,San Martín,Argentina
P00121,Carla Medina,20-34567890-1,Software,Monotributista,Carla Medina,carla.medina@empresa.qrs,0123-6789,S.R.L.,235544,2020-07-01,509100,San Martín,Argentina
P00121,Carla Medina,20-34567890-1,Software,Monotributista,Carla Medina,carla.medina@empresa.qrs,0123-6789,S.R.L.,153467,2020-11-22,509100,San Martín,Argentina
P00121,Carla Medina,20-34567890-1,Software,Monotributista,Carla Medina,carla.medina@empresa.qrs,0123-6789,S.R.L.,229698,2021-03-04,509100,San Martín,Argentina
P00121,Carla Medina,20-34567890-1,Software,Monotributista,Carla Medina,carla.medina@empresa.qrs,0123-6789,S.R.L.,66132,2020-11-16,509100,San Martín,Argentina
P00121,Carla Medina,20-34567890-1,Software,Monotributista,Carla Medina,carla.medina@empresa.qrs,0123-6789,S.R.L.,296580,2021-02-19,509100,San Martín,Argentina
P00121,Carla Medina,20-34567890-1,Software,Monotributista,Carla Medina,carla.medina@empresa.qrs,0123-6789,S.R.L.,228513,2022-10-19,509100,San Martín,Argentina
P00122,Manuel Fernández,30-98765434-2,Consultoría IT,IVA Responsable,Manuel Fernández,manuel.fernandez@empresa.tuv,0345-6789,S.A.,183419,2020-01-05,501400,Viedma,Argentina
P00122,Manuel Fernández,30-98765434-2,Consultoría IT,IVA Responsable,Manuel Fernández,manuel.fernandez@empresa.tuv,0345-6789,S.A.,218194,2020-04-04,501400,Viedma,Argentina
P00122,Manuel Fernández,30-98765434-2,Consultoría IT,IVA Responsable,Manuel Fernández,manuel.fernandez@empresa.tuv,0345-6789,S.A.,175383,2020-07-04,501400,Viedma,Argentina
P00122,Manuel Fernández,30-98765434-2,Consultoría IT,IVA Responsable,Manuel Fernández,manuel.fernandez@empresa.tuv,0345-6789,S.A.,216757,2020-11-25,501400,Viedma,Argentina
P00122,Manuel Fernández,30-98765434-2,Consultoría IT,IVA Responsable,Manuel Fernández,manuel.fernandez@empresa.tuv,0345-6789,S.A.,102297,2021-03-07,501400,Viedma,Argentina
P00122,Manuel Fernández,30-98765434-2,Consultoría IT,IVA Responsable,Manuel Fernández,manuel.fernandez@empresa.tuv,0345-6789,S.A.,24251,2022-11-17,501400,Viedma,Argentina
P00122,Manuel Fernández,30-98765434-2,Consultoría IT,IVA Responsable,Manuel Fernández,manuel.fernandez@empresa.tuv,0345-6789,S.A.,149161,2022-09-22,501400,Viedma,Argentina
P00122,Manuel Fernández,30-98765434-2,Consultoría IT,IVA Responsable,Manuel Fernández,manuel.fernandez@empresa.tuv,0345-6789,S.A.,91564,2022-10-22,501400,Viedma,Argentina
P00123,Sofía Castro,27-87654321-0,Energía Eólica,Monotributista,Sofía Castro,sofia.castro@empresa.uvw,0456-7890,S.A.,296190,2020-01-08,501400,Rawson,Argentina
P00123,Sofía Castro,27-87654321-0,Energía Eólica,Monotributista,Sofía Castro,sofia.castro@empresa.uvw,0456-7890,S.A.,251963,2020-04-07,501400,Rawson,Argentina
P00123,Sofía Castro,27-87654321-0,Energía Eólica,Monotributista,Sofía Castro,sofia.castro@empresa.uvw,0456-7890,S.A.,119340,2020-07-07,501400,Rawson,Argentina
P00123,Sofía Castro,27-87654321-0,Energía Eólica,Monotributista,Sofía Castro,sofia.castro@empresa.uvw,0456-7890,S.A.,248673,2020-11-28,501400,Rawson,Argentina
P00123,Sofía Castro,27-87654321-0,Energía Eólica,Monotributista,Sofía Castro,sofia.castro@empresa.uvw,0456-7890,S.A.,75137,2022-11-18,501400,Rawson,Argentina
P00123,Sofía Castro,27-87654321-0,Energía Eólica,Monotributista,Sofía Castro,sofia.castro@empresa.uvw,0456-7890,S.A.,85257,2022-09-25,501400,Rawson,Argentina
P00123,Sofía Castro,27-87654321-0,Energía Eólica,Monotributista,Sofía Castro,sofia.castro@empresa.uvw,0456-7890,S.A.,91564,2022-10-25,501400,Rawson,Argentina
P00124,Ricardo López,23-98765432-4,Construcción,IVA Responsable,Ricardo López,ricardo.lopez@empresa.xyz,0567-8901,S.R.L.,88564,2020-01-11,516000,Oberá,Argentina
P00124,Ricardo López,23-98765432-4,Construcción,IVA Responsable,Ricardo López,ricardo.lopez@empresa.xyz,0567-8901,S.R.L.,109710,2020-04-10,516000,Oberá,Argentina
P00124,Ricardo López,23-98765432-4,Construcción,IVA Responsable,Ricardo López,ricardo.lopez@empresa.xyz,0567-8901,S.R.L.,129304,2020-07-10,516000,Oberá,Argentina
P00124,Ricardo López,23-98765432-4,Construcción,IVA Responsable,Ricardo López,ricardo.lopez@empresa.xyz,0567-8901,S.R.L.,233659,2020-12-01,516000,Oberá,Argentina
P00124,Ricardo López,23-98765432-4,Construcción,IVA Responsable,Ricardo López,ricardo.lopez@empresa.xyz,0567-8901,S.R.L.,30337,2021-01-28,516000,Oberá,Argentina
P00124,Ricardo López,23-98765432-4,Construcción,IVA Responsable,Ricardo López,ricardo.lopez@empresa.xyz,0567-8901,S.R.L.,246839,2022-09-28,516000,Oberá,Argentina
P00125,Gabriela Martínez,33-12345678-9,Agroindustria,Monotributista,Gabriela Martínez,gabriela.martinez@empresa.abc,0678-9012,Cooperativa,22903,2020-01-14,507100,Calafate,Argentina
P00125,Gabriela Martínez,33-12345678-9,Agroindustria,Monotributista,Gabriela Martínez,gabriela.martinez@empresa.abc,0678-9012,Cooperativa,247663,2020-04-13,507100,Calafate,Argentina
P00125,Gabriela Martínez,33-12345678-9,Agroindustria,Monotributista,Gabriela Martínez,gabriela.martinez@empresa.abc,0678-9012,Cooperativa,90516,2020-07-13,507100,Calafate,Argentina
P00125,Gabriela Martínez,33-12345678-9,Agroindustria,Monotributista,Gabriela Martínez,gabriela.martinez@empresa.abc,0678-9012,Cooperativa,139242,2020-12-04,507100,Calafate,Argentina
P00125,Gabriela Martínez,33-12345678-9,Agroindustria,Monotributista,Gabriela Martínez,gabriela.martinez@empresa.abc,0678-9012,Cooperativa,88185,2021-02-01,507100,Calafate,Argentina
P00125,Gabriela Martínez,33-12345678-9,Agroindustria,Monotributista,Gabriela Martínez,gabriela.martinez@empresa.abc,0678-9012,Cooperativa,244816,2022-10-01,507100,Calafate,Argentina
P00126,Pablo Vargas,20-23456789-1,Tecnología,IVA Responsable,Pablo Vargas,pablo.vargas@empresa.def,0789-0123,S.A.,74389,2020-01-17,509100,Gualeguaychú,Argentina
P00126,Pablo Vargas,20-23456789-1,Tecnología,IVA Responsable,Pablo Vargas,pablo.vargas@empresa.def,0789-0123,S.A.,117043,2020-04-16,509100,Gualeguaychú,Argentina
P00126,Pablo Vargas,20-23456789-1,Tecnología,IVA Responsable,Pablo Vargas,pablo.vargas@empresa.def,0789-0123,S.A.,97376,2020-07-16,509100,Gualeguaychú,Argentina
P00126,Pablo Vargas,20-23456789-1,Tecnología,IVA Responsable,Pablo Vargas,pablo.vargas@empresa.def,0789-0123,S.A.,231968,2020-12-07,509100,Gualeguaychú,Argentina
P00126,Pablo Vargas,20-23456789-1,Tecnología,IVA Responsable,Pablo Vargas,pablo.vargas@empresa.def,0789-0123,S.A.,146818,2021-02-04,509100,Gualeguaychú,Argentina
P00126,Pablo Vargas,20-23456789-1,Tecnología,IVA Responsable,Pablo Vargas,pablo.vargas@empresa.def,0789-0123,S.A.,14222,2022-10-04,509100,Gualeguaychú,Argentina
P00127,Laura Fernández,30-34567890-3,Energía Solar,Monotributista,Laura Fernández,laura.fernandez@empresa.ghi,0890-1234,S.R.L.,37706,2020-01-20,501400,Río Grande,Argentina
P00127,Laura Fernández,30-34567890-3,Energía Solar,Monotributista,Laura Fernández,laura.fernandez@empresa.ghi,0890-1234,S.R.L.,11442,2020-04-19,501400,Río Grande,Argentina
P00127,Laura Fernández,30-34567890-3,Energía Solar,Monotributista,Laura Fernández,laura.fernandez@empresa.ghi,0890-1234,S.R.L.,179093,2020-07-19,501400,Río Grande,Argentina
P00127,Laura Fernández,30-34567890-3,Energía Solar,Monotributista,Laura Fernández,laura.fernandez@empresa.ghi,0890-1234,S.R.L.,173998,2020-12-10,501400,Río Grande,Argentina
P00127,Laura Fernández,30-34567890-3,Energía Solar,Monotributista,Laura Fernández,laura.fernandez@empresa.ghi,0890-1234,S.R.L.,283665,2021-02-07,501400,Río Grande,Argentina
P00127,Laura Fernández,30-34567890-3,Energía Solar,Monotributista,Laura Fernández,laura.fernandez@empresa.ghi,0890-1234,S.R.L.,212134,2022-10-07,501400,Río Grande,Argentina
P00128,Javier González,27-98765432-5,Transporte,IVA Responsable,Javier González,javier.gonzalez@empresa.jkl,0912-3456,S.A.,198341,2020-01-23,502100,Buenos Aires,Argentina
P00128,Javier González,27-98765432-5,Transporte,IVA Responsable,Javier González,javier.gonzalez@empresa.jkl,0912-3456,S.A.,10587,2020-04-22,502100,Buenos Aires,Argentina
P00128,Javier González,27-98765432-5,Transporte,IVA Responsable,Javier González,javier.gonzalez@empresa.jkl,0912-3456,S.A.,179746,2020-07-22,502100,Buenos Aires,Argentina
P00128,Javier González,27-98765432-5,Transporte,IVA Responsable,Javier González,javier.gonzalez@empresa.jkl,0912-3456,S.A.,83142,2020-12-13,502100,Buenos Aires,Argentina
P00128,Javier González,27-98765432-5,Transporte,IVA Responsable,Javier González,javier.gonzalez@empresa.jkl,0912-3456,S.A.,59591,2021-02-10,502100,Buenos Aires,Argentina
P00128,Javier González,27-98765432-5,Transporte,IVA Responsable,Javier González,javier.gonzalez@empresa.jkl,0912-3456,S.A.,280267,2022-10-10,502100,Buenos Aires,Argentina
P00129,Patricia Rivas,23-45678901-7,Construcción,Monotributista,Patricia Rivas,patricia.rivas@empresa.mno,0123-4567,S.R.L.,237422,2020-01-26,516000,Villa Carlos Paz,Argentina
P00129,Patricia Rivas,23-45678901-7,Construcción,Monotributista,Patricia Rivas,patricia.rivas@empresa.mno,0123-4567,S.R.L.,13020,2020-04-25,516000,Villa Carlos Paz,Argentina
P00129,Patricia Rivas,23-45678901-7,Construcción,Monotributista,Patricia Rivas,patricia.rivas@empresa.mno,0123-4567,S.R.L.,94240,2020-07-25,516000,Villa Carlos Paz,Argentina
P00129,Patricia Rivas,23-45678901-7,Construcción,Monotributista,Patricia Rivas,patricia.rivas@empresa.mno,0123-4567,S.R.L.,64138,2020-12-16,516000,Villa Carlos Paz,Argentina
P00129,Patricia Rivas,23-45678901-7,Construcción,Monotributista,Patricia Rivas,patricia.rivas@empresa.mno,0123-4567,S.R.L.,209335,2021-02-13,516000,Villa Carlos Paz,Argentina
P00129,Patricia Rivas,23-45678901-7,Construcción,Monotributista,Patricia Rivas,patricia.rivas@empresa.mno,0123-4567,S.R.L.,211622,2022-10-13,516000,Villa Carlos Paz,Argentina
P00130,Fernando Reyes,33-56789012-6,Agroindustria,IVA Responsable,Fernando Reyes,fernando.reyes@empresa.pqr,0345-6789,Cooperativa,79707,2020-01-29,507100,Villa Allende,Argentina
P00130,Fernando Reyes,33-56789012-6,Agroindustria,IVA Responsable,Fernando Reyes,fernando.reyes@empresa.pqr,0345-6789,Cooperativa,217800,2020-04-28,507100,Villa Allende,Argentina
P00130,Fernando Reyes,33-56789012-6,Agroindustria,IVA Responsable,Fernando Reyes,fernando.reyes@empresa.pqr,0345-6789,Cooperativa,26298,2020-07-28,507100,Villa Allende,Argentina
P00130,Fernando Reyes,33-56789012-6,Agroindustria,IVA Responsable,Fernando Reyes,fernando.reyes@empresa.pqr,0345-6789,Cooperativa,147083,2020-12-19,507100,Villa Allende,Argentina
P00130,Fernando Reyes,33-56789012-6,Agroindustria,IVA Responsable,Fernando Reyes,fernando.reyes@empresa.pqr,0345-6789,Cooperativa,241869,2021-02-16,507100,Villa Allende,Argentina
P00130,Fernando Reyes,33-56789012-6,Agroindustria,IVA Responsable,Fernando Reyes,fernando.reyes@empresa.pqr,0345-6789,Cooperativa,140463,2022-10-16,507100,Villa Allende,Argentina
P00131,Valentina Ortega,20-87654321-2,Consultoría,Monotributista,Valentina Ortega,valentina.ortega@empresa.stu,0456-7890,S.R.L.,12989,2020-02-01,501400,San Pedro,Argentina
P00131,Valentina Ortega,20-87654321-2,Consultoría,Monotributista,Valentina Ortega,valentina.ortega@empresa.stu,0456-7890,S.R.L.,268049,2020-05-01,501400,San Pedro,Argentina
P00131,Valentina Ortega,20-87654321-2,Consultoría,Monotributista,Valentina Ortega,valentina.ortega@empresa.stu,0456-7890,S.R.L.,222635,2020-08-01,501400,San Pedro,Argentina
P00131,Valentina Ortega,20-87654321-2,Consultoría,Monotributista,Valentina Ortega,valentina.ortega@empresa.stu,0456-7890,S.R.L.,256449,2020-12-22,501400,San Pedro,Argentina
P00131,Valentina Ortega,20-87654321-2,Consultoría,Monotributista,Valentina Ortega,valentina.ortega@empresa.stu,0456-7890,S.R.L.,141315,2021-02-19,501400,San Pedro,Argentina
P00131,Valentina Ortega,20-87654321-2,Consultoría,Monotributista,Valentina Ortega,valentina.ortega@empresa.stu,0456-7890,S.R.L.,186346,2022-10-19,501400,San Pedro,Argentina
P00132,Andrés Ruiz,30-12345678-9,Tecnología,IVA Responsable,Andrés Ruiz,andres.ruiz@empresa.tuv,0567-8901,S.A.,249854,2020-02-04,509100,General Roca,Argentina
P00132,Andrés Ruiz,30-12345678-9,Tecnología,IVA Responsable,Andrés Ruiz,andres.ruiz@empresa.tuv,0567-8901,S.A.,229698,2020-05-04,509100,General Roca,Argentina
P00132,Andrés Ruiz,30-12345678-9,Tecnología,IVA Responsable,Andrés Ruiz,andres.ruiz@empresa.tuv,0567-8901,S.A.,192599,2020-08-04,509100,General Roca,Argentina
P00132,Andrés Ruiz,30-12345678-9,Tecnología,IVA Responsable,Andrés Ruiz,andres.ruiz@empresa.tuv,0567-8901,S.A.,152846,2020-12-25,509100,General Roca,Argentina
P00132,Andrés Ruiz,30-12345678-9,Tecnología,IVA Responsable,Andrés Ruiz,andres.ruiz@empresa.tuv,0567-8901,S.A.,110878,2021-01-07,509100,General Roca,Argentina
P00132,Andrés Ruiz,30-12345678-9,Tecnología,IVA Responsable,Andrés Ruiz,andres.ruiz@empresa.tuv,0567-8901,S.A.,48679,2022-09-22,509100,General Roca,Argentina
P00132,Andrés Ruiz,30-12345678-9,Tecnología,IVA Responsable,Andrés Ruiz,andres.ruiz@empresa.tuv,0567-8901,S.A.,50488,2022-10-22,509100,General Roca,Argentina
P00133,Daniela Fernández,27-23456789-4,Energía Eólica,Monotributista,Daniela Fernández,daniela.fernandez@empresa.uvw,0678-9012,S.A.,127726,2020-02-07,501400,Junín,Argentina
P00133,Daniela Fernández,27-23456789-4,Energía Eólica,Monotributista,Daniela Fernández,daniela.fernandez@empresa.uvw,0678-9012,S.A.,102297,2020-05-07,501400,Junín,Argentina
P00133,Daniela Fernández,27-23456789-4,Energía Eólica,Monotributista,Daniela Fernández,daniela.fernandez@empresa.uvw,0678-9012,S.A.,150974,2020-08-07,501400,Junín,Argentina
P00133,Daniela Fernández,27-23456789-4,Energía Eólica,Monotributista,Daniela Fernández,daniela.fernandez@empresa.uvw,0678-9012,S.A.,256144,2020-12-28,501400,Junín,Argentina
P00133,Daniela Fernández,27-23456789-4,Energía Eólica,Monotributista,Daniela Fernández,daniela.fernandez@empresa.uvw,0678-9012,S.A.,31099,2021-01-10,501400,Junín,Argentina
P00133,Daniela Fernández,27-23456789-4,Energía Eólica,Monotributista,Daniela Fernández,daniela.fernandez@empresa.uvw,0678-9012,S.A.,194151,2022-09-25,501400,Junín,Argentina
P00133,Daniela Fernández,27-23456789-4,Energía Eólica,Monotributista,Daniela Fernández,daniela.fernandez@empresa.uvw,0678-9012,S.A.,126804,2022-10-25,501400,Junín,Argentina
P00134,Luis Gómez,23-34567890-7,Construcción,IVA Responsable,Luis Gómez,luis.gomez@empresa.xyz,0789-0123,S.R.L.,243396,2020-02-10,516000,Buenos Aires,Argentina
P00134,Luis Gómez,23-34567890-7,Construcción,IVA Responsable,Luis Gómez,luis.gomez@empresa.xyz,0789-0123,S.R.L.,24358,2020-05-10,516000,Buenos Aires,Argentina
P00134,Luis Gómez,23-34567890-7,Construcción,IVA Responsable,Luis Gómez,luis.gomez@empresa.xyz,0789-0123,S.R.L.,60625,2020-08-10,516000,Buenos Aires,Argentina
P00134,Luis Gómez,23-34567890-7,Construcción,IVA Responsable,Luis Gómez,luis.gomez@empresa.xyz,0789-0123,S.R.L.,161646,2020-10-01,516000,Buenos Aires,Argentina
P00134,Luis Gómez,23-34567890-7,Construcción,IVA Responsable,Luis Gómez,luis.gomez@empresa.xyz,0789-0123,S.R.L.,135225,2021-01-01,516000,Buenos Aires,Argentina
P00134,Luis Gómez,23-34567890-7,Construcción,IVA Responsable,Luis Gómez,luis.gomez@empresa.xyz,0789-0123,S.R.L.,249165,2021-01-13,516000,Buenos Aires,Argentina
P00134,Luis Gómez,23-34567890-7,Construcción,IVA Responsable,Luis Gómez,luis.gomez@empresa.xyz,0789-0123,S.R.L.,219837,2022-09-28,516000,Buenos Aires,Argentina
P00134,Luis Gómez,23-34567890-7,Construcción,IVA Responsable,Luis Gómez,luis.gomez@empresa.xyz,0789-0123,S.R.L.,173152,2021-01-28,516000,Buenos Aires,Argentina
P00135,Marcela Jiménez,33-45678901-8,Agroindustria,Monotributista,Marcela Jiménez,marcela.jimenez@empresa.abc,0890-1234,Cooperativa,46325,2020-02-13,507100,Rafaela,Argentina
P00135,Marcela Jiménez,33-45678901-8,Agroindustria,Monotributista,Marcela Jiménez,marcela.jimenez@empresa.abc,0890-1234,Cooperativa,165797,2020-05-13,507100,Rafaela,Argentina
P00135,Marcela Jiménez,33-45678901-8,Agroindustria,Monotributista,Marcela Jiménez,marcela.jimenez@empresa.abc,0890-1234,Cooperativa,294815,2020-08-13,507100,Rafaela,Argentina
P00135,Marcela Jiménez,33-45678901-8,Agroindustria,Monotributista,Marcela Jiménez,marcela.jimenez@empresa.abc,0890-1234,Cooperativa,57988,2020-10-04,507100,Rafaela,Argentina
P00135,Marcela Jiménez,33-45678901-8,Agroindustria,Monotributista,Marcela Jiménez,marcela.jimenez@empresa.abc,0890-1234,Cooperativa,89516,2021-01-04,507100,Rafaela,Argentina
P00135,Marcela Jiménez,33-45678901-8,Agroindustria,Monotributista,Marcela Jiménez,marcela.jimenez@empresa.abc,0890-1234,Cooperativa,281214,2021-01-16,507100,Rafaela,Argentina
P00135,Marcela Jiménez,33-45678901-8,Agroindustria,Monotributista,Marcela Jiménez,marcela.jimenez@empresa.abc,0890-1234,Cooperativa,225311,2022-10-01,507100,Rafaela,Argentina
P00135,Marcela Jiménez,33-45678901-8,Agroindustria,Monotributista,Marcela Jiménez,marcela.jimenez@empresa.abc,0890-1234,Cooperativa,170553,2021-02-01,507100,Rafaela,Argentina
P00136,Roberto Díaz,20-56789012-3,Tecnología,IVA Responsable,Roberto Díaz,roberto.diaz@empresa.def,0912-3456,S.A.,220987,2020-02-16,509100,Rio Gallegos,Argentina
P00136,Roberto Díaz,20-56789012-3,Tecnología,IVA Responsable,Roberto Díaz,roberto.diaz@empresa.def,0912-3456,S.A.,260964,2020-05-16,509100,Rio Gallegos,Argentina
P00136,Roberto Díaz,20-56789012-3,Tecnología,IVA Responsable,Roberto Díaz,roberto.diaz@empresa.def,0912-3456,S.A.,45468,2020-08-16,509100,Rio Gallegos,Argentina
P00136,Roberto Díaz,20-56789012-3,Tecnología,IVA Responsable,Roberto Díaz,roberto.diaz@empresa.def,0912-3456,S.A.,135113,2020-10-07,509100,Rio Gallegos,Argentina
P00136,Roberto Díaz,20-56789012-3,Tecnología,IVA Responsable,Roberto Díaz,roberto.diaz@empresa.def,0912-3456,S.A.,148154,2021-01-19,509100,Rio Gallegos,Argentina
P00136,Roberto Díaz,20-56789012-3,Tecnología,IVA Responsable,Roberto Díaz,roberto.diaz@empresa.def,0912-3456,S.A.,247527,2022-10-04,509100,Rio Gallegos,Argentina
P00136,Roberto Díaz,20-56789012-3,Tecnología,IVA Responsable,Roberto Díaz,roberto.diaz@empresa.def,0912-3456,S.A.,212736,2021-02-04,509100,Rio Gallegos,Argentina
P00137,Camila Martínez,30-67890123-4,Energía Solar,Monotributista,Camila Martínez,camila.martinez@empresa.ghi,0123-4567,S.R.L.,221445,2020-02-19,501400,Buenos Aires,Argentina
P00137,Camila Martínez,30-67890123-4,Energía Solar,Monotributista,Camila Martínez,camila.martinez@empresa.ghi,0123-4567,S.R.L.,228513,2020-05-19,501400,Buenos Aires,Argentina
P00137,Camila Martínez,30-67890123-4,Energía Solar,Monotributista,Camila Martínez,camila.martinez@empresa.ghi,0123-4567,S.R.L.,247726,2020-08-19,501400,Buenos Aires,Argentina
P00137,Camila Martínez,30-67890123-4,Energía Solar,Monotributista,Camila Martínez,camila.martinez@empresa.ghi,0123-4567,S.R.L.,295302,2020-10-10,501400,Buenos Aires,Argentina
P00137,Camila Martínez,30-67890123-4,Energía Solar,Monotributista,Camila Martínez,camila.martinez@empresa.ghi,0123-4567,S.R.L.,217867,2021-01-22,501400,Buenos Aires,Argentina
P00137,Camila Martínez,30-67890123-4,Energía Solar,Monotributista,Camila Martínez,camila.martinez@empresa.ghi,0123-4567,S.R.L.,223875,2022-10-07,501400,Buenos Aires,Argentina
P00137,Camila Martínez,30-67890123-4,Energía Solar,Monotributista,Camila Martínez,camila.martinez@empresa.ghi,0123-4567,S.R.L.,151708,2021-02-07,501400,Buenos Aires,Argentina
P00138,Santiago López,27-78901234-6,Transporte,IVA Responsable,Santiago López,santiago.lopez@empresa.jkl,0345-6789,S.A.,94895,2020-02-22,502100,Mendoza,Argentina
P00138,Santiago López,27-78901234-6,Transporte,IVA Responsable,Santiago López,santiago.lopez@empresa.jkl,0345-6789,S.A.,91564,2020-05-22,502100,Mendoza,Argentina
P00138,Santiago López,27-78901234-6,Transporte,IVA Responsable,Santiago López,santiago.lopez@empresa.jkl,0345-6789,S.A.,175561,2020-08-22,502100,Mendoza,Argentina
P00138,Santiago López,27-78901234-6,Transporte,IVA Responsable,Santiago López,santiago.lopez@empresa.jkl,0345-6789,S.A.,73794,2020-10-13,502100,Mendoza,Argentina
P00138,Santiago López,27-78901234-6,Transporte,IVA Responsable,Santiago López,santiago.lopez@empresa.jkl,0345-6789,S.A.,73794,2021-01-25,502100,Mendoza,Argentina
P00138,Santiago López,27-78901234-6,Transporte,IVA Responsable,Santiago López,santiago.lopez@empresa.jkl,0345-6789,S.A.,148032,2022-10-10,502100,Mendoza,Argentina
P00138,Santiago López,27-78901234-6,Transporte,IVA Responsable,Santiago López,santiago.lopez@empresa.jkl,0345-6789,S.A.,279688,2021-02-10,502100,Mendoza,Argentina
P00139,Fernanda García,23-89012345-9,Construcción,Monotributista,Fernanda García,fernanda.garcia@empresa.mno,0456-7890,S.R.L.,139765,2020-02-25,516000,Cordoba,Argentina
